lon,lat
-86.68428039550781,20.574739456176758
-86.67365264892578,20.5860652923584
-86.66124725341797,20.596975326538086
-86.6521224975586,20.60472869873047
-86.64408874511719,20.61273193359375
-86.63681030273438,20.619140625
-86.6288833618164,20.62550926208496
-86.62317657470703,20.631145477294922
-86.61579895019531,20.635053634643555
-86.60823822021484,20.642873764038086
-86.60480499267578,20.646982192993164
-86.60228729248047,20.652099609375
-86.59919738769531,20.66114616394043
-86.59425354003906,20.66868782043457
-86.59003448486328,20.672456741333008
-86.58584594726562,20.67945098876953
-86.58056640625,20.686124801635742
-86.5733413696289,20.69493865966797
-86.56660461425781,20.70328140258789
-86.56021881103516,20.71343994140625
-86.55508422851562,20.72021484375
-86.55156707763672,20.730356216430664
-86.54847717285156,20.738723754882812
-86.5444107055664,20.749889373779297
-86.54124450683594,20.76059913635254
-86.53668212890625,20.769535064697266
-86.53251647949219,20.778642654418945
-86.52969360351562,20.787805557250977
-86.5253677368164,20.798038482666016
-86.5206069946289,20.808330535888672
-86.51634216308594,20.81867218017578
-86.51042938232422,20.82828712463379
-86.50535583496094,20.838897705078125
-86.50000762939453,20.851057052612305
-86.49340057373047,20.862489700317383
-86.48881530761719,20.874603271484375
-86.48542785644531,20.88983154296875
-86.48175811767578,20.905168533325195
-86.47573852539062,20.919416427612305
-86.47390747070312,20.93466567993164
-86.46856689453125,20.952070236206055
-86.46453094482422,20.968149185180664
-86.45996856689453,20.98489761352539
-86.45502471923828,20.999401092529297
-86.45330047607422,21.01668357849121
-86.44772338867188,21.032255172729492
-86.44462585449219,21.05025291442871
-86.43951416015625,21.067842483520508
-86.4384536743164,21.08740234375
-86.43682098388672,21.104188919067383
-86.43568420410156,21.12189292907715
-86.43392181396484,21.137876510620117
-86.43063354492188,21.154212951660156
-86.4287109375,21.171863555908203
-86.42687225341797,21.188064575195312
-86.4270248413086,21.205333709716797
-86.4255142211914,21.225141525268555
-86.42172241210938,21.241867065429688
-86.41673278808594,21.2606143951416
-86.41458129882812,21.27771759033203
-86.41094207763672,21.29572105407715
-86.40606689453125,21.312223434448242
-86.40084838867188,21.33011245727539
-86.39598083496094,21.347747802734375
-86.39253234863281,21.36638069152832
-86.39116668701172,21.386005401611328
-86.3888168334961,21.408411026000977
-86.38858795166016,21.429723739624023
-86.38998413085938,21.448205947875977
-86.38993835449219,21.46933937072754
-86.39221954345703,21.490400314331055
-86.39569854736328,21.513761520385742
-86.40033721923828,21.534175872802734
-86.40298461914062,21.553997039794922
-86.40646362304688,21.574907302856445
-86.41136169433594,21.594825744628906
-86.41756439208984,21.61471176147461
-86.42102813720703,21.63532257080078
-86.4276123046875,21.656097412109375
-86.43374633789062,21.677698135375977
-86.43814849853516,21.701454162597656
-86.44650268554688,21.72569465637207
-86.45333862304688,21.748151779174805
-86.46145629882812,21.77167320251465
-86.46897888183594,21.79359245300293
-86.47888946533203,21.817182540893555
-86.4888687133789,21.83969497680664
-86.5012435913086,21.863855361938477
-86.51178741455078,21.887836456298828
-86.52201843261719,21.908246994018555
-86.53491973876953,21.929241180419922
-86.54541015625,21.94983673095703
-86.556396484375,21.969106674194336
-86.56666564941406,21.99059295654297
-86.58009338378906,22.008752822875977
-86.59078216552734,22.024324417114258
-86.60356903076172,22.037561416625977
-86.61607360839844,22.05068588256836
-86.62691497802734,22.066543579101562
-86.64022064208984,22.077136993408203
-86.65201568603516,22.08831024169922
-86.66466522216797,22.100143432617188
-86.67407989501953,22.111997604370117
