month,log_biomasa,post_2011,fuente,sst,sst_anom,uwnd_ms,vwnd_ms,onshore_cozumel_ms,sst_anom_lag1
2009-09,-3.577259980508825,0,mendeley,,,,,,
2009-10,-2.6837251171282914,0,mendeley,,,,,,
2009-11,-3.472929902187201,0,mendeley,,,,,,
2009-12,-4.497781163288106,0,mendeley,,,,,,
2010-01,-4.554062012950669,0,mendeley,,,,,,
2010-02,-3.965604090840813,0,mendeley,,,,,,
2010-03,-4.323626558988626,0,mendeley,,,,,,
2010-04,-4.69955083199189,0,mendeley,,,,,,
2010-05,-3.0188814156433117,0,mendeley,,,,,,
2010-06,-4.05485374483218,0,mendeley,,,,,,
2010-07,-3.069570315579333,0,mendeley,,,,,,
2010-08,-2.7706383886138384,0,mendeley,,,,,,
2010-09,-3.8724570413372907,0,mendeley,,,,,,
2010-10,-2.540681773203073,0,mendeley,,,,,,
2010-11,-2.774742552166077,0,mendeley,,,,,,
2010-12,-3.0372523066641364,0,mendeley,,,,,,
2011-01,-5.525173114904738,1,mendeley,,,,,,
2011-02,-2.826252939259023,1,mendeley,,,,,,
2011-03,-3.2670049128094294,1,mendeley,,,,,,
2011-04,-1.6743371429224814,1,mendeley,,,,,,
2011-05,-0.7963111953805047,1,mendeley,,,,,,
2011-06,-0.19269879001729234,1,mendeley,,,,,,
2011-07,0.049494269218597696,1,mendeley,,,,,,
2011-08,-0.034106826369416615,1,mendeley,,,,,,
2011-09,-0.023276168355216568,1,mendeley,,,,,,
2011-10,-1.17075031874951,1,mendeley,,,,,,
2011-11,-1.625559326750756,1,mendeley,,,,,,
2011-12,-2.4091763171404743,1,mendeley,,,,,,
2012-01,-2.1790533510601957,1,mendeley,,,,,,
2012-02,-1.4524818837224531,1,mendeley,,,,,,
2012-03,-0.8470647383923774,1,mendeley,,,,,,
2012-04,-0.6070123634990304,1,mendeley,,,,,,
2012-05,-0.016431348541480515,1,mendeley,,,,,,
2012-06,0.4350872656114921,1,mendeley,,,,,,
2012-07,0.4015601196175534,1,mendeley,,,,,,
2012-08,-0.5331514589062891,1,mendeley,,,,,,
2012-09,-1.1455217207570212,1,mendeley,,,,,,
2012-10,-1.679895141405644,1,mendeley,,,,,,
2012-11,-2.719268647506667,1,mendeley,,,,,,
2012-12,-3.175370758939752,1,mendeley,,,,,,
2013-01,-4.706988953198272,1,mendeley,,,,,,
2013-02,-4.438720664799141,1,mendeley,,,,,,
2013-03,-2.8738183737589855,1,mendeley,,,,,,
2013-04,-3.14149170199212,1,mendeley,,,,,,
2013-05,-2.8994562581891525,1,mendeley,,,,,,
2013-06,-4.112644206523137,1,mendeley,,,,,,
2013-07,-3.7094507946438364,1,mendeley,,,,,,
2013-08,-3.2740324538003316,1,mendeley,,,,,,
2013-09,-3.390843045674666,1,mendeley,,,,,,
2013-10,-3.848459341701777,1,mendeley,,,,,,
2013-11,-3.481732596176485,1,mendeley,,,,,,
2013-12,-4.406839770794917,1,mendeley,,,,,,
2014-01,-3.9046614654299376,1,mendeley,,,,,,
