fecha,num_boletin,semaforo,biomasa_caribe_mexicano_ton,biomasa_caribe_central_ton,biomasa_caribe_oriental_ton,biomasa_atlantico_central_ton,num_conglomerados,conglomerado_cozumel,corriente_xcalak_nudos,corriente_xcalak_dir,corriente_mahahual_nudos,corriente_mahahual_dir,corriente_tulum_nudos,corriente_tulum_dir,corriente_playa_carmen_nudos,corriente_playa_carmen_dir,corriente_puerto_morelos_nudos,corriente_puerto_morelos_dir,corriente_cancun_nudos,corriente_cancun_dir,viento_norte_nudos,viento_norte_dir,viento_sur_nudos,viento_sur_dir,archivo
2025-03-01,995,ESCASO,9157,22996,21281,158287,0,NO,,,,,,,,,,,,,,,,,SARGAZO_995_01_MARZO_2025.pdf
2025-03-02,996,ESCASO,10630,22448,20518,156446,0,NO,,,,,,,,,,,,,,,,,SARGAZO_996_02_MARZO_2025.pdf
2025-03-03,997,ESCASO,11424,22097,24293,134713,0,NO,,,,,,,,,,,,,,,,,SARGAZO_997_03_MARZO_2025.pdf
2025-03-04,998,ESCASO,10800,23789,28150,156459,0,NO,,,,,,,,,,,,,,,,,SARGAZO_998_04_MARZO_2025.pdf
2025-03-05,999,MUY BAJO,11522,23789,33858,182246,0,NO,,,,,,,,,,,,,,,,,SARGAZO_999_05_MARZO_2025.pdf
2025-03-06,1000,MUY BAJO,12881,23221,34161,202782,0,NO,,,,,,,,,,,,,,,,,SARGAZO_1000_06_MARZO_2025.pdf
2025-03-07,1001,MUY BAJO,14353,24118,35621,216666,0,NO,,,,,,,,,,,,,,,,,SARGAZO_1001_07_MARZO_2025.pdf
2025-03-08,1002,ESCASO,15538,22367,42354,221135,0,NO,,,,,,,,,,,,,,,,,SARGAZO_1002_08_MARZO_2025.pdf
2025-03-09,1003,ESCASO,15521,18291,44462,254284,0,NO,,,,,,,,,,,,,,,,,SARGAZO_1003_09_MARZO_2025.pdf
2025-03-10,1004,ESCASO,15728,26377,41194,288751,0,NO,,,,,,,,,,,,,,,,,SARGAZO_1004_10_MARZO_2025.pdf
2025-03-11,1005,ESCASO,16914,29791,44439,301120,0,NO,,,,,,,,,,,,,,,,,SARGAZO_1005_11_MARZO_2025.pdf
2025-03-12,1006,ESCASO,18142,30634,45090,303974,0,NO,,,,,,,,,,,,,,,,,SARGAZO_1006_12_MARZO_2025.pdf
2025-03-13,1007,ESCASO,20632,28901,47611,320334,0,NO,,,,,,,,,,,,,,,,,SARGAZO_1007_13_MARZO_2025.pdf
