id,lon,lat,step
0,-60.3297119140625,16.55072784423828,496
1,-61.732669830322266,15.049291610717773,496
2,-61.92714309692383,17.530080795288086,496
4,-62.89122009277344,14.840044021606445,496
5,-64.56802368164062,19.86039924621582,496
7,-65.49262237548828,20.001249313354492,496
8,-69.60075378417969,15.568716049194336,496
11,-70.9983901977539,18.949108123779297,496
12,-62.94198226928711,18.41735076904297,496
13,-63.90485763549805,19.193838119506836,496
15,-71.54491424560547,19.803613662719727,496
16,-65.92395782470703,25.93374252319336,496
19,-62.79095458984375,22.154788970947266,496
20,-67.55270385742188,17.35829734802246,496
21,-75.72840881347656,27.001630783081055,496
22,-64.5893325805664,28.356407165527344,496
23,-68.42631530761719,18.22077751159668,496
24,-68.92839813232422,19.20168685913086,496
25,-66.02908325195312,24.455142974853516,496
26,-67.29700469970703,26.240135192871094,496
27,-69.70389556884766,19.747602462768555,496
28,-67.96728515625,17.934860229492188,496
29,-74.52535247802734,13.392558097839355,496
30,-69.23522186279297,22.834314346313477,496
31,-68.2326889038086,23.479164123535156,496
32,-62.2359619140625,21.6409969329834,496
33,-63.563480377197266,16.8199520111084,496
34,-61.725074768066406,22.772245407104492,496
35,-69.17272186279297,19.576427459716797,496
36,-62.54661178588867,22.598743438720703,496
37,-63.710994720458984,17.76360321044922,496
38,-66.08553314208984,19.64576530456543,496
39,-71.41912841796875,17.273250579833984,496
40,-74.15190887451172,18.01584243774414,496
41,-80.07117462158203,21.69184684753418,496
42,-73.94635009765625,19.043352127075195,496
43,-76.58609008789062,22.467540740966797,496
44,-68.72311401367188,22.444316864013672,496
45,-77.34733581542969,19.638702392578125,496
46,-66.97177124023438,25.159748077392578,496
47,-67.76200866699219,20.32301902770996,496
48,-71.99949645996094,19.915544509887695,496
49,-76.93541717529297,20.997840881347656,496
50,-82.57058715820312,21.83612823486328,496
51,-62.95557403564453,25.47693634033203,496
52,-67.84474182128906,15.98136043548584,496
53,-77.46111297607422,17.793546676635742,496
54,-68.46942901611328,17.30711555480957,496
55,-70.62447357177734,21.12241554260254,496
56,-70.04669189453125,19.171480178833008,496
57,-83.31574249267578,19.745952606201172,496
58,-81.13379669189453,24.74167251586914,496
59,-80.32261657714844,18.341657638549805,496
60,-71.35626983642578,23.422466278076172,496
61,-75.80193328857422,23.966970443725586,496
62,-69.99526977539062,12.5377779006958,496
63,-73.1361083984375,18.334152221679688,496
64,-85.74840545654297,21.606416702270508,496
65,-79.34432983398438,17.899457931518555,496
66,-79.45282745361328,24.2681827545166,496
67,-63.93718338012695,15.622100830078125,488
68,-72.54235076904297,18.15610694885254,488
69,-73.12071990966797,19.91952133178711,488
71,-76.85669708251953,20.83473014831543,488
72,-76.85706329345703,20.161245346069336,488
73,-80.55680847167969,12.554184913635254,488
74,-67.22392272949219,15.198966026306152,488
75,-67.50534057617188,13.718011856079102,488
76,-74.83966064453125,8.90861988067627,488
77,-76.32548522949219,17.68926239013672,488
78,-77.58689880371094,16.59671974182129,488
79,-74.97305297851562,13.693331718444824,488
80,-83.35242462158203,19.160966873168945,488
81,-70.33135986328125,19.19706153869629,488
82,-71.42210388183594,21.598114013671875,488
83,-79.6072769165039,17.605195999145508,488
84,-76.05748748779297,20.765911102294922,488
85,-81.62244415283203,16.534408569335938,488
86,-72.58551025390625,17.678234100341797,488
87,-72.6578598022461,12.625541687011719,488
88,-72.28445434570312,14.704673767089844,488
89,-80.70415496826172,18.165996551513672,488
90,-71.71199035644531,12.859833717346191,488
91,-76.724609375,18.20870590209961,488
92,-80.23583984375,16.90615463256836,488
93,-77.82241821289062,16.729568481445312,488
94,-84.33478546142578,19.235374450683594,488
95,-76.30379486083984,19.53285789489746,488
96,-82.19391632080078,11.728936195373535,488
97,-77.35986328125,14.038729667663574,488
98,-79.20799255371094,13.515210151672363,488
99,-77.44509887695312,19.312122344970703,488
100,-79.74609375,16.344240188598633,488
101,-65.71739959716797,19.48118019104004,488
102,-74.78630828857422,18.222929000854492,488
103,-79.6989517211914,16.91600799560547,488
