month,log_biomasa,log_seasonal_mean,residuo_ou,delta_log,delta_log_lag1,delta_log_sq,z_score,es_salto
2000-03,-2.7396471505281608,-1.8917288103506313,-0.8479183401775294,,,,-0.3231902250466691,0
2000-04,-3.976684337750019,-1.7304673817582232,-2.246216955991796,-1.2370371872218584,,1.5302610025697672,-0.8024955862505041,0
2000-05,-3.1430351801019767,-1.2776179839026194,-1.8654171961993573,0.8336491576480425,-1.2370371872218584,0.6949709180472908,-0.680872270692904,0
2000-06,-5.476345193436277,-1.3893075586296593,-4.0870376348066175,-2.3333100133343003,0.8336491576480425,5.444335618326113,-1.2742729554590393,0
2000-07,-3.9874698178453873,-1.1969100651285831,-2.7905597527168045,1.4888753755908897,-2.3333100133343003,2.216749884040913,-0.9893506575769827,0
2000-08,-2.010377032491683,-1.077502327774256,-0.9328747047174273,1.9770927853537041,1.4888753755908897,3.908895881897668,-0.39313219400860216,0
2000-09,-2.396218654600201,-1.1964691620374177,-1.1997494925627832,-0.3858416221085177,1.9770927853537041,0.14887375735133215,-0.5453606000750857,0
2000-10,-3.0898528956888964,-1.5136344869673162,-1.5762184087215803,-0.6936342410886955,-0.3858416221085177,0.48112846041069063,-0.8894670324704407,0
2000-11,-3.304329678681762,-1.9127366597082123,-1.3915930189735497,-0.21447678299286554,-0.6936342410886955,0.04600029044296874,-0.8428668387919654,0
2000-12,-4.44937471999693,-2.1774120159275543,-2.271962704069376,-1.1450450413151683,-0.21447678299286554,1.3111281466404554,-0.9537112223992381,0
2001-01,-4.416287951637575,-2.3972465235340255,-2.019041428103549,0.033086768359355645,-1.1450450413151683,0.0010947342404656578,-0.6622170745073869,0
2001-02,-4.7472406157442775,-2.1965283036696674,-2.55071231207461,-0.3309526641067029,0.033086768359355645,0.1095296658793241,-0.9019791670285108,0
2001-03,-3.938437059959798,-1.8917288103506313,-2.046708249609167,0.8088035557844795,-0.3309526641067029,0.6541631918496176,-0.7801176934769061,0
2001-04,-4.939009932535893,-1.7304673817582232,-3.20854255077767,-1.0005728725760954,0.8088035557844795,1.0011460733351791,-1.1463012192244437,0
2001-05,-3.8560176529943364,-1.2776179839026194,-2.5783996690917173,1.082992279541557,-1.0005728725760954,1.1728722775466178,-0.9411089599823186,0
2001-06,-5.0299051130649035,-1.3893075586296593,-3.640597554435244,-1.173887460070567,1.082992279541557,1.3780117689109272,-1.1350800799627707,0
2001-07,-4.070967755247306,-1.1969100651285831,-2.8740576901187227,0.9589373578175975,-1.173887460070567,0.9195608562181949,-1.018953585518047,0
2001-08,-3.359715379216595,-1.077502327774256,-2.282213051442339,0.711252376030711,0.9589373578175975,0.505879942409332,-0.9617705567226883,0
2001-09,-3.3526501707533254,-1.1964691620374177,-2.1561810087159077,0.007065208463269634,0.711252376030711,4.991717062945687e-05,-0.9801180797101076,0
2001-10,-3.2244407156936394,-1.5136344869673162,-1.7108062287263233,0.12820945505968595,0.007065208463269634,0.016437664366701632,-0.9654155356752591,0
2001-11,-3.881593608788681,-1.9127366597082123,-1.9688569490804686,-0.6571528930950414,0.12820945505968595,0.43184992490318297,-1.1925068680849644,0
2001-12,-4.627853679634232,-2.1774120159275543,-2.450441663706678,-0.7462600708455516,-0.6571528930950414,0.5569040933384076,-1.0286320767175572,0
2002-01,-5.061070646420318,-2.3972465235340255,-2.6638241228862927,-0.4332169667860857,-0.7462600708455516,0.18767694031133647,-0.8736966924531556,0
2002-02,-5.749653955952966,-2.1965283036696674,-3.5531256522832986,-0.6885833095326479,-0.4332169667860857,0.4741469741669344,-1.2564511101557658,0
2002-03,-4.308336896417567,-1.8917288103506313,-2.416608086066935,1.4413170595353995,-0.6885833095326479,2.0773948661077704,-0.9211076989112529,0
2002-04,-3.8412258384892315,-1.7304673817582232,-2.1107584567310083,0.46711105792833507,1.4413170595353995,0.2181927404389284,-0.7541009521137932,0
2002-05,-4.132374779874324,-1.2776179839026194,-2.8547567959717046,-0.2911489413850923,0.46711105792833507,0.0847677060696599,-1.0419785696783765,0
2002-06,-3.6909896916342544,-1.3893075586296593,-2.3016821330045953,0.4413850882400694,-0.2911489413850923,0.19482079612069383,-0.7176276697754969,0
2002-07,-3.051665957856896,-1.1969100651285831,-1.8547558927283128,0.6393237337773585,0.4413850882400694,0.4087348365710228,-0.6575755850879149,0
2002-08,-3.9451273205965687,-1.077502327774256,-2.8676249928223125,-0.8934613627396728,0.6393237337773585,0.7982732067086332,-1.2084749423703365,0
2002-09,-3.481903001098958,-1.1964691620374177,-2.28543383906154,0.4632243194976109,-0.8934613627396728,0.21457677017402468,-1.0388715124522419,0
2002-10,-3.355640902361837,-1.5136344869673162,-1.8420064153945208,0.1262620987371208,0.4632243194976109,0.01594211757750244,-1.0394523823772206,0
2002-11,-3.625705560609337,-1.9127366597082123,-1.7129689009011249,-0.27006465824750014,0.1262620987371208,0.07293491963433905,-1.0375193485207628,0
2002-12,-4.907576596215368,-2.1774120159275543,-2.730164580287814,-1.2818710356060312,-0.27006465824750014,1.643193351925679,-1.1460525274264737,0
2003-01,-5.306907360422089,-2.3972465235340255,-2.909660836888064,-0.399330764206721,-1.2818710356060312,0.15946505924192378,-0.9543276628169854,0
2003-02,-4.794005093830723,-2.1965283036696674,-2.5974767901610556,0.5129022665913663,-0.399330764206721,0.26306873507456097,-0.9185159535533023,0
2003-03,-3.1173143088066744,-1.8917288103506313,-1.225585498456043,1.6766907850240487,0.5129022665913663,2.8112919885845606,-0.4671408015269624,0
2003-04,-3.907763159952515,-1.7304673817582232,-2.1772957781942917,-0.7904488511458405,1.6766907850240487,0.6248093862777792,-0.7778724344956629,0
2003-05,-3.635852333018491,-1.2776179839026194,-2.3582343491158717,0.271910826934024,-0.7904488511458405,0.07393549780394476,-0.8607492090133652,0
2003-06,-3.929820944008039,-1.3893075586296593,-2.5405133853783797,-0.2939686109895483,0.271910826934024,0.08641754424712438,-0.7920914337561595,0
2003-07,-3.4288763812031373,-1.1969100651285831,-2.231966316074554,0.5009445628049018,-0.2939686109895483,0.2509454550037942,-0.7913098224641855,0
2003-08,-3.2334159798119337,-1.077502327774256,-2.155913652037678,0.19546040139120358,0.5009445628049018,0.03820476851201041,-0.9085454454201334,0
2003-09,-3.087185107792194,-1.1964691620374177,-1.8907159457547764,0.1462308720197396,0.19546040139120358,0.021383467931653466,-0.8594477339980198,0
2003-10,-1.2975315085301975,-1.5136344869673162,0.21610297843711868,1.7896535992619966,0.1462308720197396,3.202860005351419,0.12194786831248097,0
2003-11,-3.578020574741787,-1.9127366597082123,-1.6652839150335748,-2.2804890662115893,1.7896535992619966,5.2006303811106065,-1.00863727398602,0
2003-12,-4.633302585382526,-2.1774120159275543,-2.4558905694549718,-1.055282010640739,-2.2804890662115893,1.1136201219819608,-1.0309193865191817,0
2004-01,-4.227572531619021,-2.3972465235340255,-1.8303260080849957,0.4057300537635049,-1.055282010640739,0.16461687652693657,-0.6003210818746344,0
2004-02,-3.8782951960566034,-2.1965283036696674,-1.681766892386936,0.3492773355624177,0.4057300537635049,0.12199465713758173,-0.5947039552639776,0
2004-03,-3.089698847661035,-1.8917288103506313,-1.1979700373104036,0.7885963483955685,0.3492773355624177,0.6218842007028248,-0.4566149682249512,0
2004-04,-3.8580599174485575,-1.7304673817582232,-2.1275925356903342,-0.7683610697875225,0.7885963483955685,0.590378733565026,-0.760115185969261,0
2004-05,-5.020831712388231,-1.2776179839026194,-3.743213728485612,-1.1627717949396739,-0.7683610697875225,1.352038247107231,-1.3662629658370942,0
2004-06,-5.136997048080361,-1.3893075586296593,-3.7476894894507016,-0.11616533569212972,-1.1627717949396739,0.013494385216465187,-1.1684696321841148,0
2004-07,-4.583464164094251,-1.1969100651285831,-3.386554098965668,0.5535328839861098,-0.11616533569212972,0.30639865365398006,-1.2006514182216579,0
2004-08,-5.197427785077729,-1.077502327774256,-4.119925457303474,-0.613963620983478,0.5535328839861098,0.37695132789114383,-1.7362195866080605,1
2004-09,-4.177621423720067,-1.1964691620374177,-2.9811522616826496,1.019806361357662,-0.613963620983478,1.0400050146655544,-1.3551187113849685,0
2004-10,-4.448410208422812,-1.5136344869673162,-2.9347757214554964,-0.27078878470274503,1.019806361357662,0.07332656592078961,-1.6561069439904061,1
2004-11,-3.3695630203909364,-1.9127366597082123,-1.456826360682724,1.078847188031876,-0.27078878470274503,1.1639112551242858,-0.8823776869786025,0
2004-12,-2.610944740701818,-2.1774120159275543,-0.43353272477426374,0.7586182796891183,1.078847188031876,0.5755016942784773,-0.18198583284574468,0
2005-01,-4.4898509017542985,-2.3972465235340255,-2.092604378220273,-1.8789061610524804,0.7586182796891183,3.5302883620409697,-0.6863446832529818,0
2005-02,-2.9763968980372573,-2.1965283036696674,-0.7798685943675898,1.5134540037170412,-1.8789061610524804,2.290543021367142,-0.275775994732721,0
2005-03,-3.55985519568628,-1.8917288103506313,-1.6681263853356485,-0.5834582976490226,1.5134540037170412,0.3404235850954954,-0.6358184701725386,0
2005-04,-3.0302616238496505,-1.7304673817582232,-1.2997942420914272,0.5295935718366294,-0.5834582976490226,0.28046935133067913,-0.46437150228510665,0
2005-05,-3.406777463455772,-1.2776179839026194,-2.1291594795531523,-0.37651583960612145,0.5295935718366294,0.14176417747430256,-0.7771374963543268,0
2005-06,-4.92537296817719,-1.3893075586296593,-3.536065409547531,-1.5185955047214184,-0.37651583960612145,2.3061323069600994,-1.1024886293550884,0
2005-07,-4.2715895742646754,-1.1969100651285831,-3.074679509136092,0.6537833939125148,-1.5185955047214184,0.42743272615576655,-1.090081010177521,0
2005-08,-2.9226054069621497,-1.077502327774256,-1.8451030791878937,1.3489841673025258,0.6537833939125148,1.819758283632889,-0.7775636085157679,0
2005-09,-2.920187645358677,-1.1964691620374177,-1.7237184833212593,0.0024177616034726235,1.3489841673025258,5.845571171226511e-06,-0.7835370235636133,0
2005-10,-3.4267596747597353,-1.5136344869673162,-1.9131251877924191,-0.5065720294010583,0.0024177616034726235,0.25661522097150663,-1.0795850207778885,0
2005-11,-2.235212721187299,-1.9127366597082123,-0.3224760614790867,1.1915469535724363,-0.5065720294010583,1.4197841425677538,-0.19531887183901397,0
2005-12,-4.7422293093585255,-2.1774120159275543,-2.564817293430971,-2.5070165881712265,1.1915469535724363,6.285132173365697,-1.0766440099423673,0
2006-01,-7.664380034991697,-2.3972465235340255,-5.267133511457672,-2.9221507256331716,-2.5070165881712265,8.538964863318471,-1.7275454066702953,1
2006-02,-5.909698563182761,-2.1965283036696674,-3.713170259513094,1.7546814718089356,-2.9221507256331716,3.0789070675095727,-1.3130458507045828,0
