month,Mend_NSS_Mt,Mend_SSS_Mt,Mend_GSR_Mt,Mend_ACR_Mt,Mend_GASB_Mt,Mend_NWGoM_Mt,num_conglomerados,corriente_xcalak_nudos,corriente_mahahual_nudos,corriente_tulum_nudos,corriente_playa_carmen_nudos,corriente_puerto_morelos_nudos,corriente_cancun_nudos,SEMAR_CM_Mt,SEMAR_CC_Mt,SEMAR_CO_Mt,SEMAR_ACO_Mt,semaforo_mensual,conglomerado_cozumel,viento_norte_nudos,viento_sur_nudos,corriente_xcalak_dir,corriente_mahahual_dir,corriente_tulum_dir,corriente_playa_carmen_dir,corriente_puerto_morelos_dir,corriente_cancun_dir,viento_norte_dir,viento_sur_dir,aligned_CM,aligned_ACO,aligned_CO,fuente
2000-03,0.000538976802839031,0.00449951867541362,0.00445051781377749,0.00217618452916778,0.0645931335260319,0.0772513013102624,,,,,,,,,,,,,,,,,,,,,,,,0.0772513013102624,0.0645931335260319,0.00217618452916778,mendeley
2000-04,0.000544824895338806,0.000578709622329264,0.00500829105413929,0.00320698946291286,0.0187476964316878,0.103006082965017,,,,,,,,,,,,,,,,,,,,,,,,0.103006082965017,0.0187476964316878,0.00320698946291286,mendeley
2000-05,0.000200828543038515,0.000101697847645511,0.0113836771471885,0.00143541095568998,0.0431516249809181,0.0481697822187271,,,,,,,,,,,,,,,,,,,,,,,,0.0481697822187271,0.0431516249809181,0.00143541095568998,mendeley
2000-06,0.000102599473805757,5.36545503216104e-05,0.0170355575596213,0.00093555190899599,0.00418459467154766,0.0275208355155925,,,,,,,,,,,,,,,,,,,,,,,,0.0275208355155925,0.00418459467154766,0.00093555190899599,mendeley
2000-07,0.00254088893879421,9.86079076454303e-05,0.0119608967344177,0.00165844325916501,0.0185465800322606,0.0451279779228998,,,,,,,,,,,,,,,,,,,,,,,,0.0451279779228998,0.0185465800322606,0.00165844325916501,mendeley
2000-08,0.00560428081993965,1.62869305002573e-05,0.00816257205654731,0.000630176750056251,0.13393816510722,0.00168411785099815,,,,,,,,,,,,,,,,,,,,,,,,0.00168411785099815,0.13393816510722,0.000630176750056251,mendeley
2000-09,0.0160713935455449,0.0,0.0175290949023875,0.00268026110444526,0.0910616375916636,0.00058030477207933,,,,,,,,,,,,,,,,,,,,,,,,0.00058030477207933,0.0910616375916636,0.00268026110444526,mendeley
2000-10,0.0255416211928293,0.000112976977089531,0.00877875697581553,0.00255580328243281,0.0455086474306261,4.67594821418515e-05,,,,,,,,,,,,,,,,,,,,,,,,4.67594821418515e-05,0.0455086474306261,0.00255580328243281,mendeley
2000-11,0.0485379461365244,0.00274060366725968,0.027127025801957,0.000732129424329003,0.0367238193473263,0.000388113168826749,,,,,,,,,,,,,,,,,,,,,,,,0.000388113168826749,0.0367238193473263,0.000732129424329003,mendeley
2000-12,0.0980029615566288,0.00897475398320734,0.013572131510503,0.000391171120572381,0.0116858706282768,1.9725512847117e-05,,,,,,,,,,,,,,,,,,,,,,,,1.9725512847117e-05,0.0116858706282768,0.000391171120572381,mendeley
2001-01,0.00761379243743102,0.0170167291779183,0.00125807461155068,0.000769531577132,0.0120789859513221,0.000419590106408464,,,,,,,,,,,,,,,,,,,,,,,,0.000419590106408464,0.0120789859513221,0.000769531577132,mendeley
2001-02,0.00020104405288825,0.00496789175246268,0.00393759167527365,0.00206079613857193,0.00867560052284164,0.00153488736003618,,,,,,,,,,,,,,,,,,,,,,,,0.00153488736003618,0.00867560052284164,0.00206079613857193,mendeley
2001-03,3.15807420207648e-05,0.000447748792243544,0.00363843035133874,0.00043849112915845,0.0194786339051718,0.0476328069969562,,,,,,,,,,,,,,,,,,,,,,,,0.0476328069969562,0.0194786339051718,0.00043849112915845,mendeley
2001-04,5.87225677589913e-05,0.000333491809583578,0.00493494297644241,0.00195662320723839,0.00716168441512812,0.0698852671600818,,,,,,,,,,,,,,,,,,,,,,,,0.0698852671600818,0.00716168441512812,0.00195662320723839,mendeley
2001-05,0.000162504748076287,0.000493789652098144,0.0158648851938876,0.00111379131523341,0.0211520658894672,0.064780554626982,,,,,,,,,,,,,,,,,,,,,,,,0.064780554626982,0.0211520658894672,0.00111379131523341,mendeley
2001-06,2.73959121841472e-06,2.93802124249396e-05,0.000976666736404923,0.00200732154593212,0.00653943004768047,0.0313051944685751,,,,,,,,,,,,,,,,,,,,,,,,0.0313051944685751,0.00653943004768047,0.00200732154593212,mendeley
2001-07,0.000195278978476566,0.0,0.00632489360217264,0.00238235383150614,0.0170608687694833,0.0792182589956818,,,,,,,,,,,,,,,,,,,,,,,,0.0792182589956818,0.0170608687694833,0.00238235383150614,mendeley
2001-08,0.00262193087124177,8.2981912411924e-05,0.0162819084665934,0.00103859993924194,0.0347451457284188,0.0209493406061109,,,,,,,,,,,,,,,,,,,,,,,,0.0209493406061109,0.0347451457284188,0.00103859993924194,mendeley
2001-09,0.0161979900949023,7.90209594564999e-05,0.0167574855320639,0.00205158096132507,0.0349914966687553,0.00142513831119663,,,,,,,,,,,,,,,,,,,,,,,,0.00142513831119663,0.0349914966687553,0.00205158096132507,mendeley
2001-10,0.0293038626681125,0.000120520424679086,0.00948990390018419,0.00206819294393794,0.0397780215798864,0.00141947460094902,,,,,,,,,,,,,,,,,,,,,,,,0.00141947460094902,0.0397780215798864,0.00206819294393794,mendeley
2001-11,0.0238193824457795,0.00120461937022873,0.00814998036641043,0.000812107889008289,0.0206179410535896,0.0026594743832986,,,,,,,,,,,,,,,,,,,,,,,,0.0026594743832986,0.0206179410535896,0.000812107889008289,mendeley
2001-12,0.0188488278493088,0.00283872282544002,0.0126466312266607,0.000322078209472693,0.00977571742513201,0.000191305746677443,,,,,,,,,,,,,,,,,,,,,,,,0.000191305746677443,0.00977571742513201,0.000322078209472693,mendeley
