month,log_cm,semaforo_ord,conglomerado,num_conglomerados,log_aco,log_aco_lag1,log_aco_lag2,log_aco_lag3,log_cc,log_co,month_sin,month_cos,mes,anio,corriente_xcalak_nudos_f,corriente_mahahual_nudos_f,corriente_tulum_nudos_f,corriente_pm_nudos,corriente_puerto_morelos_nudos_f,corriente_cancun_nudos_f,corriente_pm_dir_ang,corriente_cancun_dir_ang,corriente_xcalak_dir_ang,corriente_mahahual_dir_ang,viento_norte_mid,viento_sur_mid,viento_norte_dir_ang,viento_sur_dir_ang,z_score_aco,log_satsum_caribe,log_satsum_zee,satsum_caribe_mt,satsum_zee_mt,sst,sst_anom,uwnd_ms,vwnd_ms,onshore_cozumel_ms
2024-03,-7.392261971055449,,1,0.0,,,,,,,1.0,6.123233995736766e-17,3,2024,,,,,,,,,,,,,,,,0.36741704116315527,-3.9633162471841192,1.444,0.019,26.55,0.1514285714285748,-3.22,0.87,-1.64
2024-04,-6.047822857586596,,1,0.0,,,,,,,0.8660254037844387,-0.4999999999999998,4,2024,,,,,,,,,,,,,,,,1.0862022689289241,-3.932225661725259,2.963,0.0196,27.11,0.08571428571428541,-4.45,0.08,-3.06
2024-05,-4.861547279387458,3.0,1,3.0,,,,,,,0.49999999999999994,-0.8660254037844387,5,2024,,,,,,,,,,,,,,,,1.6376365669872182,-2.5421121108522993,5.143,0.0787,28.55,0.379999999999999,-3.89,2.07,-1.28
2024-06,-6.727100944564687,1.0,1,3.0,,,,,,,1.2246467991473532e-16,-1.0,6,2024,,,,,,,,,,,,,,,,1.318818196262428,-4.358310029931569,3.739,0.0128,29.39,0.495000000000001,-3.71,1.8,-1.33
2024-07,-6.857061214096729,1.0,1,0.0,,,,,,,-0.4999999999999997,-0.8660254037844388,7,2024,,,,,,,,,,,,,,,,0.6081338067773544,-4.226733681774698,1.837,0.0146,29.61,0.16000000000000014,-3.59,-0.37,-2.77
2024-08,-7.846800440437422,1.0,1,3.0,,,,,,,-0.8660254037844384,-0.5000000000000004,8,2024,,,,,,,,,,,,,,,,1.1226542834737625,-3.1868927548020753,3.073,0.0413,30.3,0.36499999999999844,-1.9,-0.55,-1.72
2024-09,-7.819055981786158,1.0,1,1.5,,,,,,,-1.0,-1.8369701987210297e-16,9,2024,,,,,,,,,,,,,,,,0.9524297788758308,-3.8632327936396673,2.592,0.021,30.57,0.5533333333333346,-1.66,0.45,-0.84
2024-10,-10.87101894860388,1.0,0,0.0,,,,,,,-0.8660254037844386,0.5000000000000001,10,2024,,,,,,,,,,,,,,,,-0.0020020016686691,-3.244193607211465,0.998,0.039,29.54,0.08999999999999986,-2.4,-2.05,-3.11
2025-03,-4.009525531668672,2.0,0,0.0,-1.242190550485476,,,,-3.5462693628725255,-3.099094764371278,1.0,6.123233995736766e-17,3,2025,,,,,,,,,,,,,,,0.2475762186465849,1.5721513278556818,-1.9754419444515459,4.817,0.1387,26.82,0.4214285714285744,-3.77,-0.29,-2.84
2025-04,-4.220724377021216,1.0,0,0.0,-0.8363134086458271,-1.242190550485476,,,-4.615826665105269,-2.0083420831396155,0.8660254037844387,-0.4999999999999998,4,2025,,,,,,,,,,,,,,,0.31945027168322676,2.4120671037006725,-1.7585181296444226,11.157,0.1723,26.82,-0.20428571428571374,-4.56,-0.71,-3.69
2025-05,-3.7058628184692126,1.0,0,0.0,-0.5706994840369148,-0.8363134086458271,-1.242190550485476,,-2.7359096825575215,-1.335110868960384,0.49999999999999994,-0.8660254037844387,5,2025,,,,,,,,,,,,,,,0.25802335540759364,2.8854708793522823,-0.7769636644781972,17.912,0.4598,28.09,-0.08000000000000185,-3.91,1.22,-1.88
2025-06,-3.3660425866241006,5.0,0,0.0,-0.5711127486867438,-0.5706994840369148,-0.8363134086458271,-1.242190550485476,-2.8557964158681943,-1.3164418554909316,1.2246467991473532e-16,-1.0,6,2025,,,,,,,,,,,,,,,0.2551000533315465,1.9055344836356427,-0.9140432568392881,6.723,0.4009,29.08,0.18499999999999872,-4.48,0.61,-2.7
2025-07,-2.599079197606841,5.0,0,0.0,-0.30662434859617493,-0.5711127486867438,-0.5706994840369148,-0.8363134086458271,-2.3097003364082407,-0.8658424170062688,-0.4999999999999997,-0.8660254037844388,7,2025,,,,,,,,,,,,,,,0.3156373047469091,2.7439320130542937,-0.1383429484733754,15.548,0.8708,29.32,-0.129999999999999,-3.59,-0.73,-3.03
2025-08,-3.254891653155764,4.0,0,2.0,-2.1500700271972963,-0.30662434859617493,-0.5711127486867438,-0.5706994840369148,-3.881639252290045,-1.7782234893560833,-0.8660254037844384,-0.5000000000000004,8,2025,,,,,,,,,,,11.0,13.0,90.0,90.0,-0.45200163619471506,2.6719393141589696,0.1798184274112581,14.468,1.197,30.18,0.24499999999999744,-2.37,-0.54,-2.04
