month,biomasa_mt,log_biomasa,fuente,mes,anio,month_sin,month_cos,log_seasonal_mean,log_seasonal_std,z_score,log_biomasa_lag1,log_biomasa_lag2,log_biomasa_lag3,delta_log,post_2011
2000-03,0.0645931335260319,-2.7396471505281608,mendeley,3,2000,1.0,6.123233995736766e-17,-1.8917288103506313,2.6235890644746105,-0.3231902250466691,,,,,0
2000-04,0.0187476964316878,-3.976684337750019,mendeley,4,2000,0.8660254037844387,-0.4999999999999998,-1.7304673817582232,2.799039638942793,-0.8024955862505041,-2.7396471505281608,,,-1.2370371872218584,0
2000-05,0.0431516249809181,-3.1430351801019767,mendeley,5,2000,0.49999999999999994,-0.8660254037844387,-1.2776179839026194,2.7397461704542265,-0.680872270692904,-3.976684337750019,-2.7396471505281608,,0.8336491576480425,0
2000-06,0.0041845946715476,-5.476345193436277,mendeley,6,2000,1.2246467991473532e-16,-1.0,-1.3893075586296593,3.2073486432381504,-1.2742729554590393,-3.1430351801019767,-3.976684337750019,-2.7396471505281608,-2.3333100133343003,0
2000-07,0.0185465800322606,-3.9874698178453873,mendeley,7,2000,-0.4999999999999997,-0.8660254037844388,-1.1969100651285831,2.820597258762793,-0.9893506575769827,-5.476345193436277,-3.1430351801019767,-3.976684337750019,1.4888753755908897,0
2000-08,0.13393816510722,-2.010377032491683,mendeley,8,2000,-0.8660254037844384,-0.5000000000000004,-1.077502327774256,2.3729287983395606,-0.39313219400860216,-3.9874698178453873,-5.476345193436277,-3.1430351801019767,1.9770927853537041,0
2000-09,0.0910616375916636,-2.396218654600201,mendeley,9,2000,-1.0,-1.8369701987210297e-16,-1.1964691620374177,2.199919635554165,-0.5453606000750857,-2.010377032491683,-3.9874698178453873,-5.476345193436277,-0.3858416221085177,0
2000-10,0.0455086474306261,-3.0898528956888964,mendeley,10,2000,-0.8660254037844386,0.5000000000000001,-1.5136344869673162,1.7720931200156225,-0.8894670324704407,-2.396218654600201,-2.010377032491683,-3.9874698178453873,-0.6936342410886955,0
2000-11,0.0367238193473263,-3.304329678681762,mendeley,11,2000,-0.5000000000000004,0.8660254037844384,-1.9127366597082123,1.6510235720841067,-0.8428668387919654,-3.0898528956888964,-2.396218654600201,-2.010377032491683,-0.21447678299286554,0
2000-12,0.0116858706282768,-4.44937471999693,mendeley,12,2000,-2.4492935982947064e-16,1.0,-2.1774120159275543,2.382233374955818,-0.9537112223992381,-3.304329678681762,-3.0898528956888964,-2.396218654600201,-1.1450450413151683,0
2001-01,0.0120789859513221,-4.416287951637575,mendeley,1,2001,0.49999999999999994,0.8660254037844387,-2.3972465235340255,3.0489117629675784,-0.6622170745073869,-4.44937471999693,-3.304329678681762,-3.0898528956888964,0.033086768359355645,0
2001-02,0.0086756005228416,-4.7472406157442775,mendeley,2,2001,0.8660254037844386,0.5000000000000001,-2.1965283036696674,2.827906015254989,-0.9019791670285108,-4.416287951637575,-4.44937471999693,-3.304329678681762,-0.3309526641067029,0
2001-03,0.0194786339051718,-3.938437059959798,mendeley,3,2001,1.0,6.123233995736766e-17,-1.8917288103506313,2.6235890644746105,-0.7801176934769061,-4.7472406157442775,-4.416287951637575,-4.44937471999693,0.8088035557844795,0
2001-04,0.0071616844151281,-4.939009932535893,mendeley,4,2001,0.8660254037844387,-0.4999999999999998,-1.7304673817582232,2.799039638942793,-1.1463012192244437,-3.938437059959798,-4.7472406157442775,-4.416287951637575,-1.0005728725760954,0
2001-05,0.0211520658894672,-3.8560176529943364,mendeley,5,2001,0.49999999999999994,-0.8660254037844387,-1.2776179839026194,2.7397461704542265,-0.9411089599823186,-4.939009932535893,-3.938437059959798,-4.7472406157442775,1.082992279541557,0
2001-06,0.0065394300476804,-5.0299051130649035,mendeley,6,2001,1.2246467991473532e-16,-1.0,-1.3893075586296593,3.2073486432381504,-1.1350800799627707,-3.8560176529943364,-4.939009932535893,-3.938437059959798,-1.173887460070567,0
2001-07,0.0170608687694833,-4.070967755247306,mendeley,7,2001,-0.4999999999999997,-0.8660254037844388,-1.1969100651285831,2.820597258762793,-1.018953585518047,-5.0299051130649035,-3.8560176529943364,-4.939009932535893,0.9589373578175975,0
2001-08,0.0347451457284188,-3.359715379216595,mendeley,8,2001,-0.8660254037844384,-0.5000000000000004,-1.077502327774256,2.3729287983395606,-0.9617705567226883,-4.070967755247306,-5.0299051130649035,-3.8560176529943364,0.711252376030711,0
2001-09,0.0349914966687553,-3.3526501707533254,mendeley,9,2001,-1.0,-1.8369701987210297e-16,-1.1964691620374177,2.199919635554165,-0.9801180797101076,-3.359715379216595,-4.070967755247306,-5.0299051130649035,0.007065208463269634,0
2001-10,0.0397780215798864,-3.2244407156936394,mendeley,10,2001,-0.8660254037844386,0.5000000000000001,-1.5136344869673162,1.7720931200156225,-0.9654155356752591,-3.3526501707533254,-3.359715379216595,-4.070967755247306,0.12820945505968595,0
2001-11,0.0206179410535896,-3.881593608788681,mendeley,11,2001,-0.5000000000000004,0.8660254037844384,-1.9127366597082123,1.6510235720841067,-1.1925068680849644,-3.2244407156936394,-3.3526501707533254,-3.359715379216595,-0.6571528930950414,0
2001-12,0.009775717425132,-4.627853679634232,mendeley,12,2001,-2.4492935982947064e-16,1.0,-2.1774120159275543,2.382233374955818,-1.0286320767175572,-3.881593608788681,-3.2244407156936394,-3.3526501707533254,-0.7462600708455516,0
2002-01,0.00633876829794,-5.061070646420318,mendeley,1,2002,0.49999999999999994,0.8660254037844387,-2.3972465235340255,3.0489117629675784,-0.8736966924531556,-4.627853679634232,-3.881593608788681,-3.2244407156936394,-0.4332169667860857,0
2002-02,0.0031838813694427,-5.749653955952966,mendeley,2,2002,0.8660254037844386,0.5000000000000001,-2.1965283036696674,2.827906015254989,-1.2564511101557658,-5.061070646420318,-4.627853679634232,-3.881593608788681,-0.6885833095326479,0
2002-03,0.0134559085670219,-4.308336896417567,mendeley,3,2002,1.0,6.123233995736766e-17,-1.8917288103506313,2.6235890644746105,-0.9211076989112529,-5.749653955952966,-5.061070646420318,-4.627853679634232,1.4413170595353995,0
2002-04,0.0214672688036947,-3.8412258384892315,mendeley,4,2002,0.8660254037844387,-0.4999999999999998,-1.7304673817582232,2.799039638942793,-0.7541009521137932,-4.308336896417567,-5.749653955952966,-5.061070646420318,0.46711105792833507,0
2002-05,0.0160447298400981,-4.132374779874324,mendeley,5,2002,0.49999999999999994,-0.8660254037844387,-1.2776179839026194,2.7397461704542265,-1.0419785696783765,-3.8412258384892315,-4.308336896417567,-5.749653955952966,-0.2911489413850923,0
2002-06,0.024947298686638,-3.6909896916342544,mendeley,6,2002,1.2246467991473532e-16,-1.0,-1.3893075586296593,3.2073486432381504,-0.7176276697754969,-4.132374779874324,-3.8412258384892315,-4.308336896417567,0.4413850882400694,0
2002-07,0.0472800911028251,-3.051665957856896,mendeley,7,2002,-0.4999999999999997,-0.8660254037844388,-1.1969100651285831,2.820597258762793,-0.6575755850879149,-3.6909896916342544,-4.132374779874324,-3.8412258384892315,0.6393237337773585,0
2002-08,0.0193487517181052,-3.9451273205965687,mendeley,8,2002,-0.8660254037844384,-0.5000000000000004,-1.077502327774256,2.3729287983395606,-1.2084749423703365,-3.051665957856896,-3.6909896916342544,-4.132374779874324,-0.8934613627396728,0
2002-09,0.0307488392435136,-3.481903001098958,mendeley,9,2002,-1.0,-1.8369701987210297e-16,-1.1964691620374177,2.199919635554165,-1.0388715124522419,-3.9451273205965687,-3.051665957856896,-3.6909896916342544,0.4632243194976109,0
