fecha,num_boletin,semaforo,biomasa_caribe_mexicano_ton,biomasa_caribe_central_ton,biomasa_caribe_oriental_ton,biomasa_atlantico_central_ton,num_conglomerados,conglomerado_cozumel,corriente_xcalak_nudos,corriente_xcalak_dir,corriente_mahahual_nudos,corriente_mahahual_dir,corriente_tulum_nudos,corriente_tulum_dir,corriente_playa_carmen_nudos,corriente_playa_carmen_dir,corriente_puerto_morelos_nudos,corriente_puerto_morelos_dir,corriente_cancun_nudos,corriente_cancun_dir,viento_norte_nudos,viento_norte_dir,viento_sur_nudos,viento_sur_dir,archivo
2026-01-01,1300,BAJO,2017,7011,15463,,4,NO,0.1,este,0.4,norte,0.2,norte,1.2,noreste,1.1,noreste,0.4,norte,,,,,SARGAZO_1300_01_ENERO_2026.pdf
2026-01-02,1301,BAJO,2558,6978,13951,187441,4,SI,0.3,noreste,0.7,norte,0.3,norte,1.5,noreste,1.4,noreste,0.7,norte,,,,,SARGAZO_1301_02_ENERO_2026.pdf
2026-01-03,1302,BAJO,4047,6792,13639,184919,4,SI,0.4,norte,0.9,norte,0.4,norte,1.5,noreste,1.1,noreste,0.7,noroeste,,,,,SARGAZO_1302_03_ENERO_2026.pdf
2026-01-04,1303,BAJO,5884,6942,14046,185844,4,SI,0.2,norte,0.8,norte,0.2,norte,1.3,norte,1.1,norte,0.1,noroeste,,,,,SARGAZO_1303_04_ENERO_2026.pdf
2026-01-05,1304,BAJO,5769,7524,15112,188859,5,SI,0.3,norte,0.7,norte,0.2,noroeste,1.1,noroeste,0.7,este,0.1,sur,,,,,SARGAZO_1304_05_ENERO_2026.pdf
2026-01-06,1305,BAJO,5926,9443,16327,182349,5,SI,0.3,norte,0.7,norte,0.2,noroeste,1.3,noroeste,1.1,noreste,0.4,norte,,,,,SARGAZO_1305_06_ENERO_2026.pdf
2026-01-07,1306,BAJO,6106,9804,18018,176297,5,SI,0.3,norte,0.7,norte,0.2,noroeste,1.3,noroeste,1.1,noreste,0.4,norte,,,,,SARGAZO_1306_07_ENERO_2026.pdf
2026-01-08,1307,BAJO,5880,11663,19484,173128,6,SI,0.3,norte,0.7,norte,0.2,noroeste,1.6,noreste,1.3,noreste,0.6,norte,,,,,SARGAZO_1307_08_ENERO_2026.pdf
2026-01-09,1308,BAJO,6994,12864,19052,156965,6,NO,0.4,noreste,0.8,norte,1.4,norte,1.6,norte,,,0.7,norte,08-16,este,13-18,este,SARGAZO_1308_09_ENERO_2026.pdf
2026-01-10,1309,BAJO,6449,13246,18748,158927,5,SI,0.5,norte,0.8,norte,0.5,norte,1.7,norte,1.6,noreste,0.9,norte,,,,,SARGAZO_1309_10_ENERO_2026.pdf
2026-01-11,1310,BAJO,5373,14062,18118,156230,6,NO,0.2,norte,0.7,norte,0.3,norte,1.6,noreste,1.5,noreste,0.4,norte,,,,,SARGAZO_1310_11_ENERO_2026.pdf
2026-01-12,1311,BAJO,5698,14062,18278,140693,6,NO,0.2,norte,0.7,norte,0.2,norte,1.6,noreste,1.1,noreste,02,norte,,,,,SARGAZO_1311_12_ENERO_2026.pdf
2026-01-13,1312,BAJO,5918,12227,17335,128287,6,SI,0.2,norte,0.7,norte,0.2,norte,1.6,noreste,,,0.4,norte,7-12,norte,8-13,norte,SARGAZO_1312_13_ENERO_2026.pdf
2026-01-14,1313,BAJO,7268,12169,14637,120262,7,SI,0.2,norte,0.7,norte,0.2,norte,1.6,noreste,,,0.4,norte,7-12,norte,8-13,norte,SARGAZO_1313_14_ENERO_2026.pdf
2026-01-16,1315,BAJO,8327,14062,13337,142480,5,SI,0.4,norte,0.8,norte,0.1,noroeste,1.2,norte,0.7,este,0.4,suroeste,06-12,noroeste,07-12,norte,SARGAZO_1315_16_ENERO_2026.pdf
