lon,lat,step,id
-85.91059112548828,19.69206428527832,0,0
-85.91386413574219,19.692359924316406,0,1
-85.91242218017578,19.694244384765625,0,2
-85.91439819335938,19.697450637817383,0,3
-85.91700744628906,19.699193954467773,0,4
-85.91742706298828,19.700204849243164,0,5
-85.91887664794922,19.700401306152344,0,6
-85.91943359375,19.700313568115234,0,7
-85.92152404785156,19.702072143554688,0,8
-85.92425537109375,19.70162010192871,0,9
-85.92517852783203,19.702476501464844,0,10
-85.9244613647461,19.703386306762695,0,11
-85.92786407470703,19.7061710357666,0,12
-85.93058776855469,19.70943260192871,0,13
-85.93423461914062,19.710514068603516,0,14
-85.93688201904297,19.714740753173828,0,15
-85.9411849975586,19.717409133911133,0,16
-85.94393157958984,19.720073699951172,0,17
-85.94845581054688,19.724809646606445,0,18
-85.95086669921875,19.72589683532715,0,19
-85.95380401611328,19.73021697998047,0,20
-85.95682525634766,19.734432220458984,0,21
-85.96159362792969,19.735313415527344,0,22
-85.9636001586914,19.737510681152344,0,23
-85.96544647216797,19.73885154724121,0,24
-85.96971893310547,19.742141723632812,0,25
-85.97394561767578,19.744150161743164,0,26
-85.97636413574219,19.748706817626953,0,27
-85.97866821289062,19.751073837280273,0,28
-85.98310852050781,19.75581169128418,0,29
-85.98700714111328,19.758163452148438,0,30
-85.98945617675781,19.759765625,0,31
-85.99390411376953,19.763681411743164,0,32
-85.99913024902344,19.76752471923828,0,33
-86.00341033935547,19.771602630615234,0,34
-86.00604248046875,19.773237228393555,0,35
-86.00736236572266,19.775936126708984,0,36
-86.00950622558594,19.77853012084961,0,37
-86.01325225830078,19.782535552978516,0,38
-86.0146484375,19.78752899169922,0,39
-86.01521301269531,19.7890682220459,0,40
-86.01692962646484,19.793283462524414,0,41
-86.01803588867188,19.79686164855957,0,42
-86.02173614501953,19.79792022705078,0,43
-86.02503204345703,19.802038192749023,0,44
-86.02723693847656,19.80377197265625,0,45
-86.03069305419922,19.806800842285156,0,46
-86.03324890136719,19.808422088623047,0,47
-86.03599548339844,19.81127166748047,0,48
-86.03785705566406,19.81468963623047,0,49
-86.04193878173828,19.819547653198242,0,50
-86.04531860351562,19.82264518737793,0,51
-86.04881286621094,19.82280921936035,0,52
-86.05169677734375,19.827341079711914,0,53
-86.05567932128906,19.829191207885742,0,54
-86.06196594238281,19.834335327148438,0,55
-86.06541442871094,19.83670425415039,0,56
-86.06779479980469,19.840539932250977,0,57
-86.07162475585938,19.846050262451172,0,58
-86.07221984863281,19.85027503967285,0,59
-86.07138061523438,19.85334014892578,0,60
-86.07169342041016,19.85527229309082,0,61
-86.0744400024414,19.857715606689453,0,62
-86.07561492919922,19.860092163085938,0,63
-86.07756805419922,19.864185333251953,0,64
-86.08075714111328,19.86710548400879,0,65
-86.08296203613281,19.86728858947754,0,66
-86.08191680908203,19.870590209960938,0,67
-86.08187103271484,19.8731689453125,0,68
-86.08271026611328,19.876070022583008,0,69
-86.08523559570312,19.87860870361328,0,70
-86.0890884399414,19.881370544433594,0,71
-86.09275817871094,19.881549835205078,0,72
-86.09371185302734,19.88381004333496,0,73
-86.09729766845703,19.886051177978516,0,74
-86.10103607177734,19.886144638061523,0,75
-86.10649108886719,19.887130737304688,0,76
-86.11165618896484,19.88871192932129,0,77
-86.11469268798828,19.890066146850586,0,78
-86.11851501464844,19.89163589477539,0,79
-86.12202453613281,19.889694213867188,0,80
-86.12726593017578,19.89205551147461,0,81
-86.12963104248047,19.894811630249023,0,82
-86.1343994140625,19.89606475830078,0,83
-86.14038848876953,19.899986267089844,0,84
-86.14559173583984,19.903432846069336,0,85
-86.1491470336914,19.904943466186523,0,86
-86.15226745605469,19.906057357788086,0,87
-86.15629577636719,19.906375885009766,0,88
-86.16117095947266,19.90989875793457,0,89
-86.1646499633789,19.913589477539062,0,90
-86.16653442382812,19.916624069213867,0,91
-86.17000579833984,19.92098045349121,0,92
-86.1731948852539,19.923830032348633,0,93
-86.17635345458984,19.927888870239258,0,94
-86.17933654785156,19.931447982788086,0,95
-86.18231964111328,19.935199737548828,0,96
-86.18651580810547,19.93770980834961,0,97
-86.1932373046875,19.94121551513672,0,98
-86.1963119506836,19.944963455200195,0,99
-85.70895385742188,20.420427322387695,66,0
-85.70818328857422,20.422136306762695,66,1
-85.70635223388672,20.422876358032227,66,2
-85.70308685302734,20.425233840942383,66,3
-85.70292663574219,20.425683975219727,66,4
-85.70331573486328,20.42560577392578,66,5
-85.70022583007812,20.428382873535156,66,6
-85.7009048461914,20.429729461669922,66,7
-85.70110321044922,20.43028450012207,66,8
-85.70048522949219,20.43150520324707,66,9
-85.69773864746094,20.43450164794922,66,10
-85.69877624511719,20.43537139892578,66,11
-85.7025375366211,20.436445236206055,66,12
-85.70478820800781,20.436912536621094,66,13
-85.7049331665039,20.439008712768555,66,14
-85.70591735839844,20.440641403198242,66,15
-85.70475769042969,20.443334579467773,66,16
-85.70487213134766,20.44552230834961,66,17
-85.70523834228516,20.448610305786133,66,18
-85.70511627197266,20.45104217529297,66,19
-85.70481872558594,20.452909469604492,66,20
-85.70492553710938,20.4550724029541,66,21
-85.70410919189453,20.458301544189453,66,22
-85.70613098144531,20.460668563842773,66,23
-85.70524597167969,20.462928771972656,66,24
-85.70609283447266,20.465444564819336,66,25
-85.70674896240234,20.469736099243164,66,26
-85.70501708984375,20.472122192382812,66,27
-85.70635986328125,20.47629165649414,66,28
-85.70732879638672,20.4773006439209,66,29
-85.71044158935547,20.479698181152344,66,30
-85.71126556396484,20.483436584472656,66,31
-85.7133560180664,20.485979080200195,66,32
-85.71234893798828,20.488473892211914,66,33
-85.71106719970703,20.489652633666992,66,34
-85.71173095703125,20.490236282348633,66,35
-85.71097564697266,20.491941452026367,66,36
-85.71026611328125,20.495100021362305,66,37
-85.70806884765625,20.49849510192871,66,38
-85.70809173583984,20.50389289855957,66,39
-85.70616149902344,20.508878707885742,66,40
-85.70509338378906,20.51174545288086,66,41
-85.70217895507812,20.51630973815918,66,42
-85.7029800415039,20.521404266357422,66,43
-85.70332336425781,20.52454376220703,66,44
-85.70133209228516,20.525747299194336,66,45
-85.70101165771484,20.5313777923584,66,46
-85.70178985595703,20.536306381225586,66,47
-85.70046997070312,20.54051971435547,66,48
-85.69977569580078,20.543718338012695,66,49
-85.69852447509766,20.547563552856445,66,50
-85.69894409179688,20.550661087036133,66,51
-85.69856262207031,20.55337905883789,66,52
-85.69953918457031,20.55660057067871,66,53
-85.70082092285156,20.560012817382812,66,54
-85.7015151977539,20.564987182617188,66,55
-85.7010269165039,20.568037033081055,66,56
-85.69876098632812,20.572086334228516,66,57
-85.69913482666016,20.574113845825195,66,58
-85.698974609375,20.577499389648438,66,59
-85.69721984863281,20.58009910583496,66,60
-85.69691467285156,20.58247184753418,66,61
-85.6949462890625,20.584333419799805,66,62
-85.69239044189453,20.585655212402344,66,63
-85.69263458251953,20.588993072509766,66,64
-85.69113159179688,20.59031105041504,66,65
-85.69216918945312,20.592798233032227,66,66
-85.69121551513672,20.595001220703125,66,67
-85.69181823730469,20.59712028503418,66,68
-85.68985748291016,20.599966049194336,66,69
-85.69062042236328,20.603506088256836,66,70
-85.68950653076172,20.606975555419922,66,71
-85.68973541259766,20.60777473449707,66,72
-85.68943786621094,20.610965728759766,66,73
-85.69020080566406,20.614994049072266,66,74
-85.689453125,20.61802864074707,66,75
-85.68997955322266,20.621477127075195,66,76
-85.69284057617188,20.62364387512207,66,77
-85.69477844238281,20.625349044799805,66,78
-85.6976089477539,20.629161834716797,66,79
-85.69827270507812,20.63258171081543,66,80
-85.6985092163086,20.634737014770508,66,81
-85.70201873779297,20.63973617553711,66,82
-85.7060775756836,20.64339828491211,66,83
-85.71107482910156,20.646221160888672,66,84
-85.71336364746094,20.647842407226562,66,85
-85.71597290039062,20.650745391845703,66,86
-85.72024536132812,20.65383529663086,66,87
-85.72180938720703,20.656217575073242,66,88
-85.72626495361328,20.65947723388672,66,89
-85.727783203125,20.66394805908203,66,90
-85.73014831542969,20.666194915771484,66,91
-85.7322998046875,20.66864585876465,66,92
-85.73316955566406,20.672504425048828,66,93
-85.73568725585938,20.67726707458496,66,94
-85.7384262084961,20.68058204650879,66,95
-85.73917388916016,20.68576431274414,66,96
-85.74211883544922,20.690261840820312,66,97
-85.74372863769531,20.6966495513916,66,98
-85.74600982666016,20.70075798034668,66,99
-86.19790649414062,19.74590492248535,132,0
-86.19738006591797,19.743234634399414,132,1
-86.19910430908203,19.74287986755371,132,2
-86.20256042480469,19.742387771606445,132,3
-86.2042465209961,19.741971969604492,132,4
-86.20623779296875,19.742313385009766,132,5
-86.20792388916016,19.740976333618164,132,6
-86.2122573852539,19.741039276123047,132,7
-86.21228790283203,19.73920440673828,132,8
-86.21470642089844,19.739004135131836,132,9
-86.2169418334961,19.738113403320312,132,10
-86.21942138671875,19.738082885742188,132,11
-86.22499084472656,19.7375545501709,132,12
-86.22974395751953,19.739442825317383,132,13
-86.23526763916016,19.740413665771484,132,14
-86.23912048339844,19.741886138916016,132,15
-86.24172973632812,19.744338989257812,132,16
-86.24358367919922,19.74729347229004,132,17
-86.2476577758789,19.747629165649414,132,18
-86.25018310546875,19.749258041381836,132,19
-86.25141906738281,19.750619888305664,132,20
-86.25477600097656,19.752605438232422,132,21
-86.25794982910156,19.753555297851562,132,22
-86.25942993164062,19.752872467041016,132,23
-86.26528930664062,19.755678176879883,132,24
-86.26776123046875,19.75901222229004,132,25
-86.27167510986328,19.762598037719727,132,26
-86.27474975585938,19.764562606811523,132,27
-86.27782440185547,19.768125534057617,132,28
-86.28273010253906,19.769847869873047,132,29
-86.28695678710938,19.77161407470703,132,30
-86.29088592529297,19.774036407470703,132,31
-86.2943115234375,19.777360916137695,132,32
-86.2962646484375,19.77988052368164,132,33
-86.29716491699219,19.78279685974121,132,34
-86.29991912841797,19.785520553588867,132,35
-86.30113220214844,19.78482437133789,132,36
-86.30339813232422,19.785207748413086,132,37
